iter	Logloss	Accuracy	Recall
0	0.6897447494	0.8523206751	0.8073394495
1	0.6854112698	0.8734177215	0.8440366972
2	0.6810793225	0.8945147679	0.8532110092
3	0.6780273739	0.8818565401	0.8348623853
4	0.6740958855	0.8776371308	0.8348623853
5	0.6722217278	0.8818565401	0.8440366972
6	0.6687720091	0.8776371308	0.8348623853
7	0.6649510028	0.8902953586	0.8532110092
8	0.6618981404	0.8902953586	0.8532110092
9	0.6581169185	0.8818565401	0.8532110092
10	0.654546459	0.8860759494	0.8532110092
11	0.6504819737	0.8860759494	0.8532110092
12	0.646492436	0.8945147679	0.8623853211
13	0.6427414666	0.8945147679	0.8623853211
14	0.639088463	0.8945147679	0.8623853211
15	0.635775991	0.8902953586	0.8623853211
16	0.6321925977	0.8902953586	0.8623853211
17	0.6284285018	0.8945147679	0.8623853211
18	0.6254835297	0.8945147679	0.8623853211
19	0.6223051521	0.8902953586	0.8623853211
20	0.6194756643	0.8860759494	0.8532110092
21	0.6168196038	0.8945147679	0.8623853211
22	0.6131796777	0.8945147679	0.871559633
23	0.6105154013	0.8945147679	0.871559633
24	0.6071666581	0.8945147679	0.8623853211
25	0.603806699	0.8987341772	0.8623853211
26	0.6008903652	0.8987341772	0.871559633
27	0.5986346812	0.8987341772	0.871559633
28	0.595114331	0.8945147679	0.8623853211
29	0.5918617485	0.9029535865	0.871559633
30	0.5895820442	0.8987341772	0.8623853211
31	0.5865648432	0.8987341772	0.871559633
32	0.5843190626	0.8987341772	0.871559633
33	0.5812398586	0.8987341772	0.871559633
34	0.5777334141	0.9029535865	0.871559633
35	0.575747863	0.9029535865	0.871559633
36	0.5731531154	0.9029535865	0.8623853211
37	0.5706451527	0.8945147679	0.8623853211
38	0.5679680533	0.8945147679	0.8623853211
39	0.5652129688	0.8945147679	0.8623853211
40	0.5623463157	0.8987341772	0.871559633
41	0.5594591863	0.8987341772	0.871559633
42	0.5571809243	0.8945147679	0.871559633
43	0.554750005	0.8945147679	0.8623853211
44	0.5521112754	0.8860759494	0.8532110092
45	0.5499028742	0.8902953586	0.8532110092
46	0.5473090993	0.8945147679	0.8623853211
47	0.5443317913	0.9029535865	0.880733945
48	0.5433808208	0.8945147679	0.8623853211
49	0.5411235473	0.9029535865	0.880733945
50	0.5384250456	0.9071729958	0.880733945
51	0.5361779187	0.9071729958	0.880733945
52	0.5335077508	0.9071729958	0.880733945
53	0.5322718624	0.9071729958	0.880733945
54	0.5295389624	0.9071729958	0.880733945
55	0.5267917586	0.9029535865	0.871559633
56	0.5248240147	0.9071729958	0.880733945
57	0.523129663	0.9029535865	0.880733945
58	0.5214761077	0.8987341772	0.871559633
59	0.5194112914	0.8987341772	0.871559633
60	0.517501388	0.9029535865	0.880733945
61	0.5149121915	0.8987341772	0.871559633
62	0.512822305	0.8987341772	0.871559633
63	0.5103439804	0.9029535865	0.880733945
64	0.5082501587	0.9029535865	0.880733945
65	0.5058891488	0.9071729958	0.880733945
66	0.5037508223	0.9071729958	0.880733945
67	0.5018658821	0.9029535865	0.871559633
68	0.5004831769	0.9029535865	0.871559633
69	0.4987047341	0.9029535865	0.871559633
70	0.4968553548	0.9029535865	0.871559633
71	0.4948184273	0.8987341772	0.871559633
72	0.4928336346	0.8987341772	0.871559633
73	0.4905214921	0.8987341772	0.871559633
74	0.4882185227	0.8987341772	0.871559633
75	0.4872794614	0.8987341772	0.871559633
76	0.4856836113	0.8987341772	0.871559633
77	0.4851918072	0.8987341772	0.871559633
78	0.4832894073	0.8987341772	0.871559633
