iter	Passed	Remaining
0	59	59243
1	115	57490
2	164	54570
3	206	51541
4	257	51227
5	292	48388
6	350	49745
7	401	49761
8	451	49745
9	506	50158
10	556	50041
11	606	49969
12	666	50571
13	735	51823
14	785	51563
15	862	53062
16	933	53954
17	1006	54919
18	1082	55903
19	1138	55801
20	1218	56827
21	1298	57746
22	1364	57947
23	1416	57617
24	1472	57418
25	1530	57352
26	1619	58374
27	1683	58452
28	1748	58545
29	1813	58625
30	1862	58223
31	1912	57866
32	1990	58320
33	2093	59472
34	2174	59964
35	2266	60695
36	2338	60860
37	2385	60378
38	2451	60415
39	2508	60196
40	2562	59935
41	2633	60058
42	2700	60098
43	2763	60032
44	2866	60839
45	2920	60561
46	3007	60972
47	3110	61686
48	3156	61252
49	3213	61063
50	3270	60865
51	3336	60829
52	3386	60515
53	3413	59794
54	3473	59687
55	3529	59500
56	3578	59195
57	3615	58725
58	3648	58197
59	3695	57896
60	3727	57386
61	3770	57045
62	3809	56655
63	3874	56658
64	3905	56175
65	3955	55975
66	3999	55696
67	4076	55868
68	4126	55679
69	4174	55457
70	4198	54930
71	4267	55003
72	4326	54934
73	4377	54779
74	4414	54440
75	4439	53969
76	4470	53583
77	4480	52967
78	4533	52851
79	4567	52522
80	4599	52180
81	4630	51837
82	4646	51337
83	4681	51048
84	4730	50924
85	4781	50820
86	4819	50575
87	4848	50249
88	4864	49794
89	4894	49486
90	4923	49183
91	4955	48905
92	4995	48718
93	5032	48500
94	5064	48241
95	5089	47927
96	5137	47830
97	5168	47570
98	5200	47327
99	5247	47228
100	5279	46995
101	5299	46658
102	5341	46517
103	5371	46277
104	5401	46039
105	5444	45915
106	5488	45808
107	5527	45653
108	5605	45819
109	5633	45576
110	5666	45384
111	5698	45184
112	5715	44862
113	5745	44652
114	5777	44458
115	5809	44271
116	5826	43969
117	5856	43775
118	5899	43674
119	5940	43566
120	5962	43315
121	5999	43177
122	6030	43000
123	6061	42822
124	6094	42660
125	6125	42492
126	6163	42369
127	6195	42204
128	6225	42035
129	6257	41879
130	6290	41727
131	6322	41576
132	6354	41424
133	6387	41277
134	6420	41137
135	6456	41018
136	6499	40940
137	6530	40792
138	6561	40645
139	6601	40550
140	6633	40410
141	6663	40262
142	6683	40053
143	6714	39914
144	6754	39827
145	6795	39747
146	6827	39620
147	6865	39521
148	6898	39397
149	6930	39275
150	6961	39141
151	6995	39029
152	7029	38913
153	7049	38724
154	7082	38611
155	7121	38526
156	7151	38401
157	7162	38172
158	7193	38048
159	7248	38056
160	7280	37939
161	7322	37877
162	7353	37758
163	7383	37638
164	7423	37566
165	7438	37374
166	7471	37267
167	7511	37197
168	7541	37084
169	7578	37002
170	7633	37008
171	7678	36965
172	7699	36806
173	7730	36696
174	7760	36585
175	7790	36475
176	7823	36376
177	7862	36308
178	7894	36208
179	7927	36113
180	7962	36031
181	7997	35946
182	8029	35848
183	8063	35758
184	8102	35693
185	8133	35593
186	8165	35501
187	8196	35402
188	8227	35303
189	8270	35256
190	8303	35168
191	8350	35141
192	8396	35106
193	8442	35076
194	8479	35005
195	8510	34909
196	8540	34812
197	8578	34748
198	8608	34649
199	8648	34594
200	8705	34604
201	8769	34643
202	8824	34645
203	8876	34633
204	8939	34666
205	8989	34650
206	9013	34531
207	9083	34586
208	9145	34613
209	9197	34601
210	9230	34517
211	9267	34448
212	9300	34364
213	9332	34278
214	9407	34348
215	9451	34307
216	9486	34230
217	9517	34140
218	9559	34090
219	9589	33998
220	9655	34035
221	9714	34045
222	9771	34047
223	9830	34054
224	9879	34029
225	9944	34056
226	10005	34070
227	10084	34145
228	10160	34208
229	10218	34208
230	10277	34214
231	10325	34182
232	10375	34153
233	10427	34133
234	10478	34110
235	10530	34089
236	10601	34131
237	10635	34050
238	10695	34054
239	10751	34045
240	10818	34071
241	10898	34136
242	10977	34195
243	11027	34166
244	11097	34196
245	11172	34243
246	11206	34163
247	11290	34236
248	11362	34268
249	11411	34235
250	11469	34225
251	11529	34222
252	11585	34207
253	11646	34205
254	11708	34206
255	11757	34171
256	11789	34085
257	11845	34066
258	11900	34048
259	11930	33955
260	11962	33870
261	12009	33829
262	12050	33768
263	12089	33704
264	12118	33613
265	12151	33530
266	12183	33448
267	12215	33363
268	12247	33281
269	12288	33225
270	12320	33143
271	12359	33079
272	12389	32994
273	12421	32911
274	12451	32826
275	12484	32750
276	12515	32666
277	12546	32584
278	12557	32450
279	12586	32365
280	12628	32312
281	12660	32233
282	12676	32117
283	12702	32023
